phase,model,method,seed,rmse,mae,mse,r2,rmse_log,time_s,params
baseline,LinearRegression,none,11,101399398.04592845,56872038.9367173,1.0281837924076638e+16,0.6976553344342606,0.7566328311590316,0.006,{}
baseline,Ridge,none,11,101409301.50086075,56849284.68710364,1.028384643089248e+16,0.6977076536781173,0.7565673625485015,0.004,{}
baseline,RandomForest,none,11,104697603.24850097,58303222.760825895,1.0961588125980522e+16,0.6918504672183294,0.7638617850792953,0.978,{}
baseline,SVR,none,11,117450063.54311548,64445080.817512624,1.3794517426281866e+16,0.6588707043461715,0.8036991988541148,1.08,{}
baseline,XGBoost,none,11,99582880.37303613,56215544.889495805,9916750063390424.0,0.6947947027077934,0.760203842126201,0.225,{}
baseline,LinearRegression,none,42,101399398.04592845,56872038.9367173,1.0281837924076638e+16,0.6976553344342606,0.7566328311590316,0.005,{}
baseline,Ridge,none,42,101409301.50086075,56849284.68710364,1.028384643089248e+16,0.6977076536781173,0.7565673625485015,0.003,{}
baseline,RandomForest,none,42,103733974.97134848,57858021.32709838,1.0760737563356354e+16,0.6922853676515928,0.7633225645370666,1.02,{}
baseline,SVR,none,42,117450063.54311548,64445080.817512624,1.3794517426281866e+16,0.6588707043461715,0.8036991988541148,0.963,{}
baseline,XGBoost,none,42,99582880.37303613,56215544.889495805,9916750063390424.0,0.6947947027077934,0.760203842126201,0.232,{}
tuned,LinearRegression,grid,11,101399398.04592845,56872038.9367173,1.0281837924076638e+16,0.6976553344342606,0.7566328311590316,,{}
tuned,Ridge,grid,11,101409301.50086075,56849284.68710364,1.028384643089248e+16,0.6977076536781173,0.7565673625485015,,{'alpha': 1.0}
tuned,RandomForest,grid,11,104337995.3411147,58289776.444770746,1.0886417271802472e+16,0.6954369864326232,0.7594035222902605,,"{'max_depth': 12, 'min_samples_split': 5, 'n_estimators': 300}"
tuned,SVR,grid,11,117450063.54311548,64445080.817512624,1.3794517426281866e+16,0.6588707043461715,0.8036991988541148,,"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}"
tuned,XGBoost,grid,11,99316240.76393649,56016063.157142855,9863715679480200.0,0.7048319073462463,0.7475990332563224,,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}"
tuned,LinearRegression,grid,42,101399398.04592845,56872038.9367173,1.0281837924076638e+16,0.6976553344342606,0.7566328311590316,,{}
tuned,Ridge,grid,42,101409301.50086075,56849284.68710364,1.028384643089248e+16,0.6977076536781173,0.7565673625485015,,{'alpha': 1.0}
tuned,RandomForest,grid,42,103983116.48391433,57928386.35297803,1.0812488513707296e+16,0.6945409789278412,0.7605197634486999,,"{'max_depth': 12, 'min_samples_split': 5, 'n_estimators': 300}"
tuned,SVR,grid,42,117450063.54311548,64445080.817512624,1.3794517426281866e+16,0.6588707043461715,0.8036991988541148,,"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}"
tuned,XGBoost,grid,42,99316240.76393649,56016063.157142855,9863715679480200.0,0.7048319073462463,0.7475990332563224,,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200}"
tuned,LinearRegression,random,11,101399398.04592845,56872038.9367173,1.0281837924076638e+16,0.6976553344342606,0.7566328311590316,,{}
tuned,Ridge,random,11,101409301.50086075,56849284.68710364,1.028384643089248e+16,0.6977076536781173,0.7565673625485015,,{'alpha': 1}
tuned,RandomForest,random,11,104020900.53592645,58075009.29646303,1.0820347748305104e+16,0.6966079981520427,0.7579422042394525,,"{'n_estimators': 400, 'min_samples_split': 6, 'max_depth': 16}"
tuned,SVR,random,11,109263985.84929183,57804613.646442495,1.1938618603674246e+16,0.7002514945490603,0.7533773164574195,,"{'kernel': 'rbf', 'epsilon': 0.2, 'C': 1}"
tuned,XGBoost,random,11,101829669.8009195,56295448.787815146,1.0369281651764298e+16,0.7055969598094425,0.746629545714894,,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}"
tuned,LinearRegression,random,42,101399398.04592845,56872038.9367173,1.0281837924076638e+16,0.6976553344342606,0.7566328311590316,,{}
tuned,Ridge,random,42,101409301.50086075,56849284.68710364,1.028384643089248e+16,0.6977076536781173,0.7565673625485015,,{'alpha': 1}
tuned,RandomForest,random,42,104379687.69289319,58054383.28885263,1.089511920286592e+16,0.6930591394345621,0.7623622442145113,,"{'n_estimators': 200, 'min_samples_split': 6, 'max_depth': 12}"
tuned,SVR,random,42,109263985.84929183,57804613.646442495,1.1938618603674246e+16,0.7002514945490603,0.7533773164574195,,"{'kernel': 'rbf', 'epsilon': 0.2, 'C': 1}"
tuned,XGBoost,random,42,99410745.16112614,56163460.52310926,9882496253490364.0,0.7075323633073758,0.7441713303117272,,"{'subsample': 0.9, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.7}"
